dataset_id,dataset_name,dataset_name_,test_accuracy
15,BirdChicken,lstmfcn_64_cells_weights/BirdChicken,0.000000
16,ItalyPowerDemand,lstmfcn_64_cells_weights/ItalyPowerDemand,0.498542
17,SonyAIBORobotSurface1,lstmfcn_64_cells_weights/SonyAIBORobotSurface1,0.755408
18,SonyAIBORobotSurface2,lstmfcn_64_cells_weights/SonyAIBORobotSurface2,0.581322
19,MiddlePhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/MiddlePhalanxOutlineAgeGroup,0.142857
20,MiddlePhalanxOutlineCorrect,lstmfcn_64_cells_weights/MiddlePhalanxOutlineCorrect,0.501718
21,MiddlePhalanxTW,lstmfcn_64_cells_weights/MiddlePhalanxTW,0.233766
22,ProximalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/ProximalPhalanxOutlineAgeGroup,0.258537
23,ProximalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/ProximalPhalanxOutlineCorrect,0.591065
24,ProximalPhalanxTW,lstmfcn_64_cells_weights/ProximalPhalanxTW,0.195122
25,MoteStrain,lstmfcn_64_cells_weights/MoteStrain,0.412141
26,MedicalImages,lstmfcn_64_cells_weights/MedicalImages,0.431579
27,Strawberry,lstmfcn_64_cells_weights/Strawberry,0.443243
28,ToeSegmentation1,lstmfcn_64_cells_weights/ToeSegmentation1,0.285088
29,Coffee,lstmfcn_64_cells_weights/Coffee,0.000000
30,CricketX,lstmfcn_64_cells_weights/CricketX,0.084615
31,CricketY,lstmfcn_64_cells_weights/CricketY,0.076923
32,CricketZ,lstmfcn_64_cells_weights/CricketZ,0.169231
33,UWaveGestureLibraryX,lstmfcn_64_cells_weights/UWaveGestureLibraryX,0.141262
34,UWaveGestureLibraryY,lstmfcn_64_cells_weights/UWaveGestureLibraryY,0.197376
35,UWaveGestureLibraryZ,lstmfcn_64_cells_weights/UWaveGestureLibraryZ,0.118649
36,ToeSegmentation2,lstmfcn_64_cells_weights/ToeSegmentation2,0.769231
37,DiatomSizeReduction,lstmfcn_64_cells_weights/DiatomSizeReduction,0.258170
38,Car,lstmfcn_64_cells_weights/Car,0.000000
39,CBF,lstmfcn_64_cells_weights/CBF,0.334444
40,CinCECGTorso,lstmfcn_64_cells_weights/CinCECGTorso,0.229710
41,Computers,lstmfcn_64_cells_weights/Computers,0.248000
42,Earthquakes,lstmfcn_64_cells_weights/Earthquakes,0.690647
43,ECG5000,lstmfcn_64_cells_weights/ECG5000,0.783778
44,ElectricDevices,lstmfcn_64_cells_weights/ElectricDevices,0.578654
45,FaceAll,lstmfcn_64_cells_weights/FaceAll,0.196450
46,FaceFour,lstmfcn_64_cells_weights/FaceFour,0.000000
47,FacesUCR,lstmfcn_64_cells_weights/FacesUCR,0.115122
48,Fish,lstmfcn_64_cells_weights/Fish,0.091429
49,FordA,lstmfcn_64_cells_weights/FordA,0.626515
50,FordB,lstmfcn_64_cells_weights/FordB,0.546914
51,GunPoint,lstmfcn_64_cells_weights/GunPoint,0.466667
52,Ham,lstmfcn_64_cells_weights/Ham,0.000000
53,HandOutlines,lstmfcn_64_cells_weights/HandOutlines,0.445946
54,Haptics,lstmfcn_64_cells_weights/Haptics,0.162338
55,Herring,lstmfcn_64_cells_weights/Herring,0.000000
56,InlineSkate,lstmfcn_64_cells_weights/InlineSkate,0.149091
57,LargeKitchenAppliances,lstmfcn_64_cells_weights/LargeKitchenAppliances,0.229333
58,Lightning2,lstmfcn_64_cells_weights/Lightning2,0.000000
59,Mallat,lstmfcn_64_cells_weights/Mallat,0.122814
60,Meat,lstmfcn_64_cells_weights/Meat,0.000000
61,NonInvasiveFetalECGThorax1,lstmfcn_64_cells_weights/NonInvasiveFetalECGThorax1,0.019847
62,NonInvasiveFetalECGThorax2,lstmfcn_64_cells_weights/NonInvasiveFetalECGThorax2,0.040712
63,OliveOil,lstmfcn_64_cells_weights/OliveOil,0.000000
64,OSULeaf,lstmfcn_64_cells_weights/OSULeaf,0.095041
65,PhalangesOutlinesCorrect,lstmfcn_64_cells_weights/PhalangesOutlinesCorrect,0.553613
66,Phoneme,lstmfcn_64_cells_weights/Phoneme,0.059599
67,Plane,lstmfcn_64_cells_weights/Plane,0.000000
68,RefrigerationDevices,lstmfcn_64_cells_weights/RefrigerationDevices,0.250667
69,ScreenType,lstmfcn_64_cells_weights/ScreenType,0.221333
70,ShapeletSim,lstmfcn_64_cells_weights/ShapeletSim,0.338889
71,ShapesAll,lstmfcn_64_cells_weights/ShapesAll,0.003333
72,SmallKitchenAppliances,lstmfcn_64_cells_weights/SmallKitchenAppliances,0.218667
73,StarLightCurves,lstmfcn_64_cells_weights/StarLightCurves,0.793832
74,SwedishLeaf,lstmfcn_64_cells_weights/SwedishLeaf,0.052800
75,Symbols,lstmfcn_64_cells_weights/Symbols,0.160804
76,SyntheticControl,lstmfcn_64_cells_weights/SyntheticControl,0.466667
77,Trace,lstmfcn_64_cells_weights/Trace,0.000000
79,TwoLeadECG,lstmfcn_64_cells_weights/TwoLeadECG,0.469710
80,UWaveGestureLibraryAll,lstmfcn_64_cells_weights/UWaveGestureLibraryAll,0.216918
81,Wafer,lstmfcn_64_cells_weights/Wafer,0.889682
82,Worms,lstmfcn_64_cells_weights/Worms,0.000000
83,WormsTwoClass,lstmfcn_64_cells_weights/WormsTwoClass,0.000000
84,Yoga,lstmfcn_64_cells_weights/Yoga,0.501333
85,ACSF1,lstmfcn_64_cells_weights/ACSF1,0.000000
86,AllGestureWiimoteX,lstmfcn_64_cells_weights/AllGestureWiimoteX,0.092857
87,AllGestureWiimoteY,lstmfcn_64_cells_weights/AllGestureWiimoteY,0.100000
88,AllGestureWiimoteZ,lstmfcn_64_cells_weights/AllGestureWiimoteZ,0.111429
89,BME,lstmfcn_64_cells_weights/BME,0.393333
